,userid,bookid,rating
188,119,9836,3
189,94,28496,8
190,168,1380,5
191,245,3350,9
192,156,21812,2
193,213,5759,3
194,21,20095,3
195,53,32522,10
196,31,17959,8
197,249,14951,7
198,42,11600,4
199,180,26473,2
200,12,5460,3
201,232,857,10
202,129,3238,8
203,209,29121,7
204,85,8834,3
205,235,3176,8
206,143,2050,5
207,77,1774,10
208,1,4738,1
209,146,26181,1
210,202,17769,3
211,195,18971,5
212,133,5799,4
213,8,7648,4
214,123,25219,3
215,216,20167,5
216,189,27413,7
217,63,29321,6
218,108,9559,3
219,223,3275,1
220,248,31138,2
221,29,31947,2
222,189,32082,4
223,49,2351,4
224,224,9048,8
225,68,23637,7
226,69,19643,7
227,27,6497,8
228,5,30224,5
229,61,21902,4
230,62,29850,2
231,145,12279,5
232,87,25022,6
233,226,24578,3
234,222,26999,4
235,3,26898,3
236,202,23507,4
237,187,17066,5
238,229,14101,9
239,232,7010,1
240,202,20760,3
241,82,12296,2
242,175,19047,1
243,21,18172,10
244,54,6467,4
245,173,7045,6
246,168,27819,4
247,249,3063,5
248,109,29906,3
249,210,12519,9
250,244,13978,6
251,57,481,2
252,228,29537,2
253,95,2017,5
254,192,12641,4
255,91,3213,9
256,114,8128,2
257,68,836,6
258,134,29850,1
259,191,2017,7
260,127,326,7
261,39,22648,7
262,214,17686,1
263,38,10725,4
264,55,8814,2
265,17,14859,7
266,68,5799,10
267,170,8815,8
268,247,10468,7
269,39,10721,4
270,242,21574,1
271,230,27161,3
272,242,10574,4
273,196,15371,3
274,196,12534,10
275,187,26775,6
276,112,16663,5
277,5,5431,9
278,220,30516,4
279,51,3040,7
280,139,9237,8
281,173,22771,9
282,31,31215,4
283,33,3088,6
284,123,16996,1
285,17,29533,3
286,83,24492,5
287,81,27730,9
288,82,7888,2
289,143,18708,5
290,185,689,10
291,197,14859,6
292,201,14200,8
293,138,9828,5
294,63,5054,10
295,103,22354,7
296,41,14748,2
297,2,14675,8
298,148,5055,8
299,168,28462,9
300,241,15259,7
301,193,10152,3
302,29,30266,4
303,180,9761,8
304,13,28018,1
305,74,23406,10
306,137,14598,3
307,192,26322,9
308,162,14093,2
309,56,26211,3
310,10,29906,10
311,121,22986,1
312,44,16996,6
313,103,1784,9
314,183,29178,10
315,20,21370,2
316,149,30431,4
317,207,7736,6
318,62,28788,8
319,87,21690,6
320,179,13449,8
321,62,12237,8
322,239,27415,1
323,244,10574,7
324,124,24080,8
325,213,18406,4
326,32,31794,10
327,182,1863,6
328,49,26804,2
329,157,17087,3
330,81,4600,4
331,36,9237,4
332,160,18686,9
333,161,9346,6
334,129,952,3
335,225,20545,10
336,115,20312,3
337,17,14369,2
338,11,14358,4
339,204,10454,9
340,189,25819,1
341,111,1152,9
342,198,21690,9
343,61,22790,7
344,193,15031,4
345,13,32511,4
346,16,7963,9
347,82,15946,6
348,30,32573,3
349,16,27748,2
350,99,26863,2
351,178,29812,3
352,40,2476,2
353,123,13882,7
354,151,6788,8
355,205,31985,5
356,104,3467,2
357,222,19623,10
358,204,32001,8
359,23,2476,2
360,183,32388,3
361,137,19771,4
362,165,17112,4
363,112,2095,1
364,80,18293,8
365,42,7109,2
366,64,29040,7
367,163,17387,2
368,203,3166,1
369,39,4316,9
370,185,30552,8
371,196,16640,8
372,2,18828,7
373,210,22333,9
374,215,17604,5
375,24,11149,3
376,74,9030,1
377,21,30127,3
378,52,24998,8
379,14,11998,3
380,141,4257,3
381,225,28043,3
382,180,9412,6
383,218,13969,4
384,38,5049,5
385,54,3464,2
386,86,28168,1
387,22,16279,4
388,40,12190,1
389,159,9284,7
390,111,22379,7
391,17,19411,9
392,208,6484,3
393,105,13250,4
394,109,27161,10
395,127,22361,6
396,140,3801,10
397,228,19292,2
398,50,15605,3
399,108,31466,7
400,149,21406,4
401,210,8834,6
402,37,32143,9
403,25,30721,6
404,36,13564,6
405,222,30803,5
406,95,23994,2
407,62,13192,10
408,166,20739,1
409,21,29509,5
410,55,11461,4
411,98,4389,6
412,245,17827,4
413,207,3446,3
414,226,29148,10
415,145,9638,1
416,116,7808,8
417,124,15950,8
418,8,13420,2
419,107,5469,1
420,208,10218,2
421,71,20604,6
422,171,3556,6
423,83,15912,5
424,7,31483,5
425,47,30648,1
426,159,30224,1
427,104,13327,4
428,13,19264,4
429,48,2575,7
430,166,8913,7
431,222,14860,6
432,2,8891,10
433,137,17630,2
434,154,16181,3
435,1,19510,10
436,150,19413,1
437,204,5041,7
438,67,29040,4
439,132,4003,6
440,58,10575,9
441,111,30516,5
442,217,15824,3
443,194,24803,4
444,156,2656,3
445,114,10,7
446,219,17669,2
447,235,1121,2
448,232,15275,3
449,98,22361,6
450,204,10158,4
451,70,7035,2
452,197,28831,7
453,113,7130,3
454,202,10498,8
455,126,27901,3
456,143,19510,9
457,155,11124,2
458,99,8575,10
459,109,19711,10
460,99,21338,2
461,80,4539,9
462,58,30185,4
463,91,2076,1
464,120,15370,7
465,146,16817,3
466,175,32007,5
467,98,9048,10
468,198,1647,3
469,234,1954,10
470,192,8720,5
471,188,26309,7
472,63,19322,3
473,208,19472,2
474,44,1155,3
475,50,21239,10
476,226,3801,4
477,175,24501,1
478,45,30436,4
479,134,4075,4
480,164,18750,6
481,148,13146,2
482,52,19032,10
483,156,21649,2
484,78,14846,7
485,247,27294,2
486,188,21975,6
487,191,31735,10
488,68,26522,8
489,20,29936,5
490,75,18641,2
491,176,4098,4
492,245,18641,9
493,30,29174,4
494,89,24773,2
495,60,15375,9
496,99,15162,5
497,149,9398,5
498,198,28680,1
499,180,13016,8
500,46,14859,8
501,87,9202,2
502,101,19701,8
503,181,17939,4
504,71,4122,1
505,129,30170,8
506,80,28327,7
507,243,31610,3
508,235,2438,5
509,156,26532,5
510,128,15935,3
511,90,19242,5
512,123,24345,7
513,44,3164,2
514,87,10599,5
515,29,3336,2
516,154,17999,1
517,138,29027,3
518,227,278,6
519,116,16672,2
520,150,23864,10
521,229,19701,3
522,48,28018,8
523,37,12318,10
524,168,3493,7
525,178,28574,7
526,100,32143,4
527,179,31118,3
528,231,11220,4
529,116,25446,1
530,216,21668,8
531,65,28519,2
532,190,13156,3
533,196,16821,4
534,164,28736,2
535,4,17232,10
536,63,21586,6
537,233,12864,7
538,81,2928,3
539,220,15145,5
540,212,5216,7
541,165,5920,5
542,92,4487,3
543,53,25266,1
544,114,21355,4
545,99,19501,6
546,151,14727,9
547,18,13192,4
548,203,32132,8
549,180,19701,6
550,89,6051,8
551,157,5975,4
552,239,5049,9
553,38,24578,10
554,160,26532,6
555,108,3708,3
556,170,12922,2
557,206,8681,5
558,5,7848,4
559,165,29390,3
560,70,4404,8
561,164,3975,3
562,207,19139,10
563,50,14871,1
564,81,32161,6
565,27,16996,6
566,85,25072,6
567,236,22784,9
568,191,10468,2
569,17,4230,1
570,59,25819,8
571,14,10616,5
572,147,13835,1
573,87,32334,8
574,180,28877,10
575,98,12572,10
576,130,14754,4
577,32,10830,3
578,39,5113,3
579,161,30999,3
580,11,25497,5
581,115,2065,3
582,76,6506,1
583,141,18526,2
584,20,13701,5
585,98,18293,4
586,12,31940,10
587,177,6214,4
588,90,4003,2
589,82,31996,2
590,154,9004,6
591,187,30149,1
592,72,32149,8
593,207,10218,5
594,10,32247,1
595,205,10802,7
596,228,14562,6
597,187,32443,2
598,208,11404,2
599,84,15726,3
600,103,19084,6
601,219,23346,10
602,9,6497,7
603,74,16656,6
604,47,32161,9
605,169,2065,5
606,25,18628,10
607,226,1841,3
608,43,7835,1
609,211,26221,8
610,117,5257,5
611,34,15370,8
612,26,11818,5
613,245,18662,3
614,237,19547,8
615,85,20702,1
616,240,20760,4
617,10,10661,6
618,123,32460,8
619,110,17246,2
620,55,6179,6
621,8,5129,6
622,161,22546,7
623,238,25134,5
624,23,31335,10
625,22,20739,1
626,214,13320,4
627,83,23864,6
628,117,5746,4
629,210,12519,9
630,103,24658,8
631,189,25071,4
632,211,24130,5
633,71,4828,5
634,214,14335,1
635,174,22203,2
636,114,777,8
637,79,2066,6
638,215,4959,4
639,151,18078,5
640,7,17776,2
641,109,25162,1
642,92,1770,3
643,192,31735,9
644,240,18121,2
645,104,7035,1
646,208,9174,8
647,136,26923,7
648,59,19015,5
649,19,10454,5
650,21,10725,8
651,218,21952,3
652,42,19825,2
653,123,12414,2
654,93,19510,1
655,84,8601,5
656,146,1681,5
657,77,4316,10
658,141,16306,5
659,160,3430,6
660,216,19443,1
661,89,2075,9
662,101,24251,9
663,61,19643,2
664,207,32007,7
665,221,4932,8
666,180,19606,8
667,28,1693,9
668,197,31466,10
669,24,3018,6
670,109,24189,4
671,249,19922,6
672,134,12137,9
673,216,23507,10
674,93,30517,9
675,215,21952,7
676,94,7868,3
677,71,29920,3
678,135,5143,2
679,148,3446,6
680,173,31704,9
681,42,10466,6
682,32,32326,9
683,100,7736,7
684,53,26211,6
685,173,26938,5
686,50,4537,3
687,52,6817,6
688,200,22876,9
689,248,20785,9
690,93,952,10
691,211,19555,6
692,18,24621,10
693,224,22132,4
694,53,981,8
695,80,1901,8
696,189,13881,8
697,35,31592,1
698,52,23085,2
699,173,28806,6
700,149,10249,1
701,152,26015,5
702,221,17686,1
703,246,4404,4
704,42,32511,2
705,154,31495,1
706,182,20245,7
707,23,13473,3
708,246,18718,1
709,195,21080,1
710,88,19825,8
711,64,9070,1
712,219,19215,7
713,38,7832,2
714,115,26630,2
715,16,15000,3
716,20,10721,6
717,183,7183,1
718,3,11921,3
719,66,23596,7
720,204,17163,1
721,142,3002,1
722,161,8804,7
723,56,9398,9
724,149,30915,5
725,8,15285,5
726,76,22546,3
727,98,23346,4
728,75,5746,6
729,11,3439,7
730,56,27460,5
731,30,10599,2
732,187,19380,9
733,145,6936,10
734,10,373,8
735,182,20602,9
736,211,19643,5
737,240,32030,7
738,56,23083,4
739,219,27557,1
740,26,26943,2
741,150,25851,3
742,122,27068,3
743,56,5257,2
744,69,22164,5
745,121,19047,9
746,125,13972,7
747,141,27743,10
748,136,27294,8
749,191,5119,7
750,13,13327,2
751,109,29405,4
752,18,31067,6
753,85,26190,2
754,169,20422,8
755,212,28890,8
756,111,22084,8
757,140,6364,6
758,168,8482,2
759,219,30648,3
760,53,4056,10
761,171,7550,9
762,70,22793,7
763,61,1849,10
764,216,21196,6
765,56,26110,6
766,109,11600,10
767,104,18357,1
768,189,6817,6
769,23,3464,3
770,131,24655,6
771,54,30925,1
772,128,26012,9
773,117,32406,6
774,233,30677,7
775,177,16502,9
776,49,17404,9
777,237,30224,4
778,227,28838,7
779,193,28655,6
780,61,27068,6
781,126,24621,10
782,93,6114,7
783,26,3192,10
784,110,14200,2
785,178,24600,3
786,118,6832,2
787,130,21496,3
788,203,19139,10
789,23,6012,4
790,230,28290,9
791,176,6129,5
792,158,13978,2
793,66,30943,4
794,96,4904,5
795,22,25504,7
796,103,20306,1
797,206,28387,9
798,70,32024,7
799,117,7899,10
800,110,7250,7
801,22,8591,4
802,130,9761,4
803,123,9132,3
804,74,13582,5
805,113,7315,1
806,73,26775,10
807,43,16354,7
808,195,22538,6
809,56,4724,5
810,54,26819,4
811,7,22084,6
812,229,26819,2
813,18,6342,4
814,108,18209,5
815,1,9071,7
816,89,13490,7
817,24,366,6
818,130,27413,7
819,7,62,8
820,148,16687,4
821,171,23270,7
822,20,3327,9
823,129,27557,5
824,40,15145,6
825,31,25405,4
826,190,12906,10
827,11,13838,2
828,81,2004,8
829,117,24773,6
830,114,6896,3
831,74,5113,2
832,61,17632,3
833,184,3327,5
834,233,22771,9
835,125,15076,9
836,57,16502,2
837,250,19242,3
838,96,414,9
839,241,26442,9
840,13,2649,9
841,4,12511,10
842,132,18462,7
843,174,4243,8
844,189,25193,2
845,162,3752,9
846,115,25526,6
847,198,66,6
848,182,8482,9
849,219,12964,4
850,30,27078,4
851,14,27812,8
852,198,28838,9
853,202,2855,9
854,95,6844,4
855,221,21338,9
856,246,19074,2
857,138,14374,10
858,234,14257,3
859,33,24600,1
860,36,14134,6
861,120,7328,3
862,148,10972,3
863,23,15605,2
864,216,25134,3
865,187,28018,2
866,83,9270,8
867,75,6129,2
868,208,3834,9
869,220,18526,5
870,18,19403,9
871,59,3974,1
872,42,22784,7
873,217,12224,1
874,187,26211,9
875,59,747,2
876,34,2075,1
877,55,5248,1
878,50,30749,7
879,49,6364,3
880,176,1155,10
881,49,26630,6
882,188,9125,6
883,187,30817,10
884,65,25193,3
885,158,11027,4
886,171,1647,6
887,187,16619,4
888,196,27413,2
889,75,8757,6
890,137,8545,8
891,17,5775,4
892,128,17140,9
893,58,21496,3
894,129,7715,7
895,19,25784,3
896,128,22844,9
897,97,20492,3
898,99,18406,8
899,168,19510,10
900,190,31090,5
901,167,23083,6
902,96,26882,10
903,57,13157,2
904,134,28018,8
905,179,6832,1
906,70,2749,8
907,146,22986,6
908,171,23247,7
909,16,29644,4
910,79,31779,8
911,50,14335,1
912,210,11254,8
913,174,595,2
914,205,17939,2
915,17,15226,5
916,120,24828,7
917,112,16640,10
918,173,18022,4
919,56,23376,4
920,30,28428,5
921,55,32147,10
922,9,1784,4
923,9,15339,1
924,187,28819,5
925,31,18667,7
926,145,29910,6
927,82,26256,4
928,73,30124,9
929,150,4724,4
930,3,8834,9
931,228,329,3
932,186,3176,3
933,205,5979,1
934,50,13881,10
935,233,17652,5
936,37,8913,7
937,55,15275,1
938,172,31357,10
939,91,14378,8
940,212,1326,6
941,230,27049,10
942,181,3311,3
943,39,7735,6
944,132,19322,3
945,203,2596,1
946,243,31218,6
947,24,3684,2
948,75,25159,9
949,126,2666,4
950,187,8025,7
951,54,14871,3
952,219,29647,6
953,62,24106,4
954,67,2753,4
955,53,17618,2
956,236,475,9
957,206,26012,3
958,38,23030,8
959,182,10131,9
960,126,16182,4
961,109,16419,3
962,245,18282,9
963,76,32144,9
964,211,8718,1
965,212,373,8
966,71,15824,3
967,43,3479,9
968,154,12318,6
969,78,31772,6
970,180,21584,5
971,140,7101,8
972,67,31324,7
973,124,22263,5
974,97,4573,6
975,135,24492,9
976,224,25071,2
977,109,7413,1
978,78,27442,10
979,130,10721,6
980,111,16855,5
981,201,569,9
982,184,28278,9
983,203,21214,6
984,39,22844,2
985,78,11818,6
986,14,14598,1
987,244,9559,4
988,219,19825,5
989,199,27226,10
990,245,26923,1
991,246,11254,6
992,81,29527,9
993,43,15994,6
994,73,26739,1
995,241,2911,8
996,78,10547,6
997,116,14274,2
998,21,6817,8
999,90,10218,3
1000,86,12296,1
1001,98,8913,2
1002,187,176,6
1003,85,7550,3
1004,107,17140,6
1005,221,4241,6
1006,92,24132,5
1007,159,14829,4
1008,232,24169,9
1009,200,28123,4
1010,229,15824,2
1011,29,15726,9
1012,192,21504,8
1013,105,6171,8
1014,192,7522,9
1015,71,7963,3
1016,156,26590,8
1017,151,23617,4
1018,80,5388,5
1019,199,22844,8
1020,123,8308,5
1021,49,19530,7
1022,34,24014,1
1023,92,6467,7
1024,170,26804,2
1025,242,20511,6
1026,157,14709,6
1027,144,3808,3
1028,165,4496,5
1029,22,21080,4
1030,21,29395,8
1031,232,8966,5
1032,249,11921,9
1033,61,1693,1
1034,67,24746,8
1035,57,6784,3
1036,227,32388,6
1037,70,11946,5
1038,82,29793,8
1039,242,2928,8
1040,225,17128,5
1041,111,16021,1
1042,186,20670,4
1043,188,3694,5
1044,153,3063,8
1045,212,23832,5
1046,100,7728,4
1047,93,32007,3
1048,228,21080,1
1049,106,9805,3
1050,191,30149,8
1051,192,26063,5
1052,205,9828,8
1053,179,16996,9
1054,12,27415,2
1055,237,30793,8
1056,232,19215,8
1057,132,27012,1
1058,116,21406,8
1059,159,18293,7
1060,4,25986,5
1061,107,21147,8
1062,57,8128,5
1063,213,1790,9
1064,151,32321,3
1065,124,1399,8
1066,196,12279,1
1067,52,27294,3
1068,55,26197,1
1069,250,27312,10
1070,4,26879,2
1071,72,23350,9
1072,165,15605,2
1073,92,2575,10
1074,203,15800,10
1075,91,8601,10
1076,41,9548,7
1077,1,8268,2
1078,183,1166,3
1079,144,24104,10
1080,24,24732,5
1081,10,28043,5
1082,219,8102,4
1083,243,10721,9
1084,202,30419,6
1085,13,7919,7
1086,165,24406,6
1087,125,6329,7
1088,156,13320,6
1089,227,30749,6
1090,244,16319,4
1091,197,9086,6
1092,70,10,10
1093,89,329,4
1094,152,11190,10
1095,179,3797,2
1096,142,1380,3
1097,10,18357,9
1098,250,18875,1
1099,36,23606,9
1100,199,8668,3
1101,162,20739,1
1102,37,5741,6
1103,146,5148,1
1104,137,27294,5
1105,204,18757,7
1106,184,30419,8
1107,128,2578,10
1108,198,30127,3
1109,236,15480,9
1110,68,2824,10
1111,101,18757,10
1112,104,13449,5
1113,61,17431,10
1114,222,655,7
1115,11,14981,10
1116,180,2887,10
1117,103,19215,2
1118,210,24202,9
1119,33,26079,4
1120,105,7183,8
1121,33,21986,10
1122,92,1693,8
1123,139,17099,6
1124,247,23246,8
1125,21,1657,2
1126,27,21350,1
1127,174,25026,5
1128,209,28944,6
1129,147,13705,2
1130,15,19017,9
1131,192,2337,1
1132,226,31353,2
1133,64,3649,4
1134,181,31014,2
1135,105,25784,7
1136,33,3797,2
1137,160,22354,2
1138,226,26259,10
1139,95,8601,6
1140,169,3649,3
1141,53,31742,5
1142,115,2048,1
1143,36,9071,9
1144,82,25723,4
1145,95,62,5
1146,96,32470,4
1147,242,1603,4
1148,71,3314,3
1149,164,31452,6
1150,183,24704,6
1151,155,13385,3
1152,115,26309,9
1153,12,26840,7
1154,155,21832,7
1155,3,23724,4
1156,230,5789,8
1157,235,27650,10
1158,190,8891,4
1159,195,30047,10
1160,205,8639,5
1161,24,18757,10
1162,161,17617,5
1163,207,8048,3
1164,145,9927,4
1165,21,20778,7
1166,83,29014,9
1167,238,27812,6
1168,203,15550,9
1169,161,13582,7
1170,46,7336,5
1171,4,24501,6
1172,74,11535,7
1173,152,16573,6
1174,58,6214,5
1175,71,20312,9
1176,218,16619,7
1177,248,4828,4
1178,36,24957,10
1179,37,20204,6
1180,216,20702,5
1181,236,27667,5
1182,196,27557,3
1183,118,19411,1
1184,95,15935,6
1185,55,22986,3
1186,57,24971,5
1187,32,23870,10
1188,230,29014,2
1189,99,204,7
1190,20,25757,3
1191,103,30894,9
1192,130,2438,6
1193,61,8242,4
1194,65,817,5
1195,55,14709,7
1196,228,2800,7
1197,143,19352,1
1198,181,13192,7
1199,50,24202,8
1200,176,1108,1
1201,206,13327,10
1202,85,17200,7
1203,122,24209,5
1204,151,15643,10
1205,183,4084,8
1206,233,27743,3
1207,226,12903,9
1208,96,21355,7
1209,246,25451,2
1210,172,29936,10
1211,206,9336,5
1212,115,3187,1
1213,87,2561,10
1214,112,23317,6
1215,106,26100,9
1216,134,20002,1
1217,8,5212,5
1218,8,29536,5
1219,160,10498,7
1220,121,19701,6
1221,170,4241,9
1222,5,12098,2
1223,171,1001,3
1224,52,8595,8
1225,117,18667,10
1226,110,32146,3
1227,215,29793,9
1228,196,2575,1
1229,107,13564,10
1230,203,22086,5
1231,116,1120,5
1232,180,6896,9
1233,64,23485,9
1234,133,26575,1
1235,80,29724,4
1236,29,7462,8
1237,218,12533,6
1238,181,15109,6
1239,239,31357,8
1240,153,15912,10
1241,78,26190,8
1242,188,12088,2
1243,157,32334,9
1244,143,31947,3
1245,237,12512,9
1246,173,3550,1
1247,199,25942,10
1248,116,30124,8
1249,164,2040,10
1250,163,4647,7
1251,66,20275,7
1252,12,7578,9
1253,99,19555,6
1254,99,19530,7
1255,221,3770,7
1256,5,17404,3
1257,45,5460,9
1258,87,25134,4
1259,21,12704,2
1260,66,4594,7
1261,61,26181,2
1262,121,12512,7
1263,149,19851,7
1264,31,2451,6
1265,199,2560,8
1266,52,24471,4
1267,170,16419,10
1268,235,15076,5
1269,118,16054,6
1270,247,7554,1
1271,90,17608,5
1272,46,6753,3
1273,187,6355,9
1274,214,32030,2
1275,81,24169,10
1276,71,2921,2
1277,206,25654,9
1278,191,17253,5
1279,224,1040,1
1280,33,17630,8
1281,164,28290,6
1282,55,13615,5
1283,18,11124,10
1284,128,28096,6
1285,81,14113,6
1286,3,18675,4
1287,27,24027,9
1288,107,13969,1
1289,237,11976,8
1290,42,15866,10
1291,181,350,6
1292,215,7328,1
1293,63,31480,10
1294,213,8545,10
1295,125,29795,1
1296,147,17769,10
1297,143,27505,1
1298,249,5759,7
1299,144,22379,3
1300,152,2050,7
1301,71,7294,1
1302,241,32443,2
1303,58,8966,4
1304,142,21214,7
1305,45,19643,10
1306,15,6294,7
1307,3,2314,3
1308,144,30224,5
1309,193,10986,6
1310,10,25873,3
1311,64,10558,3
1312,210,7634,8
1313,135,5799,8
1314,165,21493,10
1315,114,32161,5
1316,63,18971,5
1317,206,8757,2
1318,232,32443,2
1319,2,18820,6
1320,89,21740,6
1321,161,10574,8
1322,243,25388,5
1323,15,4527,7
1324,178,13157,6
1325,62,19411,5
1326,149,19603,4
1327,219,5143,8
1328,56,32146,7
1329,97,6559,4
1330,221,14859,10
1331,2,18282,1
1332,199,3217,5
1333,152,13016,4
1334,135,1368,8
1335,103,27012,8
1336,230,15939,7
1337,182,16548,5
1338,45,7824,1
1339,142,25270,8
1340,28,18971,3
1341,207,29027,3
1342,19,21720,10
1343,135,16672,5
1344,194,21381,9
1345,31,25162,3
1346,10,30431,1
1347,169,28311,2
1348,189,29812,8
1349,225,7239,1
1350,153,7899,2
1351,119,23564,4
1352,156,9070,9
1353,247,32522,8
1354,154,16656,3
1355,177,10589,3
1356,242,25584,2
1357,124,485,10
1358,230,27161,2
1359,15,8815,9
1360,244,16315,3
1361,123,4540,1
1362,239,26960,7
1363,94,26858,7
1364,105,28291,10
1365,55,26703,7
1366,106,13838,9
1367,236,4056,7
1368,40,30431,1
1369,67,20363,10
1370,209,26197,5
1371,191,17087,2
1372,27,19017,8
1373,112,24746,4
1374,187,31043,1
1375,69,31911,5
1376,65,4113,10
1377,205,7578,5
1378,85,7315,5
1379,46,12964,1
1380,12,6618,7
1381,201,3088,9
1382,172,32511,3
1383,61,5216,9
1384,230,15312,9
1385,220,21239,2
1386,159,1849,8
1387,37,29321,6
1388,246,2466,9
1389,82,15609,6
1390,48,11998,6
1391,210,22603,2
1392,7,8575,2
1393,28,25694,3
1394,142,32372,9
1395,126,11965,9
1396,2,25092,9
1397,25,245,9
1398,40,15414,1
1399,168,7010,8
1400,8,25388,2
1401,123,25819,2
1402,97,5512,4
1403,43,7205,9
1404,96,13881,2
1405,109,14001,3
1406,45,17311,6
1407,118,14477,9
1408,171,21324,5
1409,163,18729,6
1410,101,12519,3
1411,233,6832,8
1412,211,9148,9
1413,74,17827,3
1414,51,22603,1
1415,159,6739,9
1416,185,24957,7
1417,248,3479,3
1418,155,25986,9
1419,30,31335,1
1420,48,7917,3
1421,189,5076,9
1422,82,18820,6
1423,131,3337,6
1424,64,26996,8
1425,22,17903,8
1426,177,31443,9
1427,86,11404,7
1428,80,23083,3
1429,13,20358,3
1430,109,23350,9
1431,135,13838,4
1432,210,21872,1
1433,97,20666,2
1434,23,20602,9
1435,112,23687,5
1436,235,28523,6
1437,77,25497,4
1438,5,15622,6
1439,9,1120,7
1440,172,24518,9
1441,139,24725,1
1442,175,10341,4
1443,75,14742,7
1444,225,3063,5
1445,135,17632,4
1446,149,13146,3
1447,128,5589,1
1448,206,2921,3
1449,91,6092,6
1450,70,17999,1
1451,10,32334,3
1452,8,24492,10
1453,147,31001,5
1454,237,28704,1
1455,167,6642,6
1456,94,13702,6
1457,60,21194,4
1458,23,19771,10
1459,194,28151,1
1460,207,10697,1
1461,81,3281,9
1462,124,2095,2
1463,78,19260,4
1464,236,27063,3
1465,198,17232,1
1466,171,29236,6
1467,46,2351,4
1468,198,15093,8
1469,160,523,4
1470,181,14093,3
1471,56,32193,1
1472,199,26630,10
1473,83,30500,2
1474,52,24971,1
1475,201,15093,5
1476,212,1697,7
1477,177,15486,4
1478,218,3067,6
1479,217,24655,5
1480,89,17140,6
1481,245,21898,9
1482,61,28890,4
1483,124,23346,10
1484,85,1132,4
1485,111,18779,1
1486,142,15595,3
1487,89,12534,4
1488,228,17163,8
1489,219,20596,10
1490,204,6294,10
1491,86,3217,1
1492,119,30833,5
1493,3,26999,9
1494,200,11646,10
1495,217,21584,7
1496,205,28204,1
1497,204,3708,3
1498,228,1784,10
1499,114,24106,3
1500,68,30502,4
